Title,"Median salary of UK domiciled full-time graduates who obtained first degree qualifications and entered full-time paid employment in the UK by subject area of degree, skill marker, country of provider, provider type, work population marker and academic year",,,,,,
Location,UK,,,,,,
Academic years,2017/18 to 2018/19,,,,,,
Data source,HESA / OfS / DfE(NI),,,,,,
Sourced from,https://www.hesa.ac.uk/news/20-07-2021/sb260-higher-education-graduate-outcomes-statistics,,,,,,
Reference ID,SB260 Figure 14,,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb260/figure-14,,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb260/figure-14.csv,,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,,
Code page,Unicode UTF-8,,,,,,
Disclaimer,Please note that this data includes rounded totals. Caution must be taken when importing into a pivot table so as not to double count.,,,,,,
Last updated:,Oct-21,,,,,,
,,,,,,,
Subject area of degree,Country of provider,Provider type,Work population marker,Subject type marker,Skill marker,Median salary,Academic year
(1) Medicine & dentistry,England,Further education colleges (FECs),Paid employment is most important activity,Science,High skilled,,2017/18
(1) Medicine & dentistry,England,Further education colleges (FECs),Paid employment is most important activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,England,Further education colleges (FECs),Paid employment is most important activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,England,Further education colleges (FECs),Paid employment is an activity,Science,High skilled,,2017/18
(1) Medicine & dentistry,England,Further education colleges (FECs),Paid employment is an activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,England,Further education colleges (FECs),Paid employment is an activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,England,Higher education providers (HEPs),Paid employment is most important activity,Science,High skilled,34000,2017/18
(1) Medicine & dentistry,England,Higher education providers (HEPs),Paid employment is most important activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,England,Higher education providers (HEPs),Paid employment is most important activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,England,Higher education providers (HEPs),Paid employment is an activity,Science,High skilled,34000,2017/18
(1) Medicine & dentistry,England,Higher education providers (HEPs),Paid employment is an activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,England,Higher education providers (HEPs),Paid employment is an activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,Northern Ireland,Higher education providers (HEPs),Paid employment is most important activity,Science,High skilled,32000,2017/18
(1) Medicine & dentistry,Northern Ireland,Higher education providers (HEPs),Paid employment is most important activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,Northern Ireland,Higher education providers (HEPs),Paid employment is most important activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,Northern Ireland,Higher education providers (HEPs),Paid employment is an activity,Science,High skilled,32000,2017/18
(1) Medicine & dentistry,Northern Ireland,Higher education providers (HEPs),Paid employment is an activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,Northern Ireland,Higher education providers (HEPs),Paid employment is an activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,Scotland,Higher education providers (HEPs),Paid employment is most important activity,Science,High skilled,35000,2017/18
(1) Medicine & dentistry,Scotland,Higher education providers (HEPs),Paid employment is most important activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,Scotland,Higher education providers (HEPs),Paid employment is most important activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,Scotland,Higher education providers (HEPs),Paid employment is an activity,Science,High skilled,35000,2017/18
(1) Medicine & dentistry,Scotland,Higher education providers (HEPs),Paid employment is an activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,Scotland,Higher education providers (HEPs),Paid employment is an activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,Wales,Further education colleges (FECs),Paid employment is most important activity,Science,High skilled,,2017/18
(1) Medicine & dentistry,Wales,Further education colleges (FECs),Paid employment is most important activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,Wales,Further education colleges (FECs),Paid employment is most important activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,Wales,Further education colleges (FECs),Paid employment is an activity,Science,High skilled,,2017/18
(1) Medicine & dentistry,Wales,Further education colleges (FECs),Paid employment is an activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,Wales,Further education colleges (FECs),Paid employment is an activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,Wales,Higher education providers (HEPs),Paid employment is most important activity,Science,High skilled,32000,2017/18
(1) Medicine & dentistry,Wales,Higher education providers (HEPs),Paid employment is most important activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,Wales,Higher education providers (HEPs),Paid employment is most important activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,Wales,Higher education providers (HEPs),Paid employment is an activity,Science,High skilled,32000,2017/18
(1) Medicine & dentistry,Wales,Higher education providers (HEPs),Paid employment is an activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,Wales,Higher education providers (HEPs),Paid employment is an activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,All,Further education colleges (FECs),Paid employment is most important activity,Science,High skilled,,2017/18
(1) Medicine & dentistry,All,Further education colleges (FECs),Paid employment is most important activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,All,Further education colleges (FECs),Paid employment is most important activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,All,Further education colleges (FECs),Paid employment is most important activity,All,High skilled,,2017/18
(1) Medicine & dentistry,All,Further education colleges (FECs),Paid employment is most important activity,All,Medium skilled,,2017/18
(1) Medicine & dentistry,All,Further education colleges (FECs),Paid employment is most important activity,All,Low skilled,,2017/18
(1) Medicine & dentistry,All,Further education colleges (FECs),Paid employment is an activity,Science,High skilled,,2017/18
(1) Medicine & dentistry,All,Further education colleges (FECs),Paid employment is an activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,All,Further education colleges (FECs),Paid employment is an activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,All,Further education colleges (FECs),Paid employment is an activity,All,High skilled,,2017/18
(1) Medicine & dentistry,All,Further education colleges (FECs),Paid employment is an activity,All,Medium skilled,,2017/18
(1) Medicine & dentistry,All,Further education colleges (FECs),Paid employment is an activity,All,Low skilled,,2017/18
(1) Medicine & dentistry,All,Higher education providers (HEPs),Paid employment is most important activity,Science,High skilled,34000,2017/18
(1) Medicine & dentistry,All,Higher education providers (HEPs),Paid employment is most important activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,All,Higher education providers (HEPs),Paid employment is most important activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,All,Higher education providers (HEPs),Paid employment is most important activity,All,High skilled,34000,2017/18
(1) Medicine & dentistry,All,Higher education providers (HEPs),Paid employment is most important activity,All,Medium skilled,,2017/18
(1) Medicine & dentistry,All,Higher education providers (HEPs),Paid employment is most important activity,All,Low skilled,,2017/18
(1) Medicine & dentistry,All,Higher education providers (HEPs),Paid employment is an activity,Science,High skilled,34000,2017/18
(1) Medicine & dentistry,All,Higher education providers (HEPs),Paid employment is an activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,All,Higher education providers (HEPs),Paid employment is an activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,All,Higher education providers (HEPs),Paid employment is an activity,All,High skilled,34000,2017/18
(1) Medicine & dentistry,All,Higher education providers (HEPs),Paid employment is an activity,All,Medium skilled,,2017/18
(1) Medicine & dentistry,All,Higher education providers (HEPs),Paid employment is an activity,All,Low skilled,,2017/18
(1) Medicine & dentistry,All,All,Paid employment is most important activity,Science,High skilled,34000,2017/18
(1) Medicine & dentistry,All,All,Paid employment is most important activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,All,All,Paid employment is most important activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,All,All,Paid employment is most important activity,All,High skilled,34000,2017/18
(1) Medicine & dentistry,All,All,Paid employment is most important activity,All,Medium skilled,,2017/18
(1) Medicine & dentistry,All,All,Paid employment is most important activity,All,Low skilled,,2017/18
(1) Medicine & dentistry,All,All,Paid employment is an activity,Science,High skilled,34000,2017/18
(1) Medicine & dentistry,All,All,Paid employment is an activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,All,All,Paid employment is an activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,All,All,Paid employment is an activity,All,High skilled,34000,2017/18
(1) Medicine & dentistry,All,All,Paid employment is an activity,All,Medium skilled,,2017/18
(1) Medicine & dentistry,All,All,Paid employment is an activity,All,Low skilled,,2017/18
(1) Medicine & dentistry,England,All,Paid employment is most important activity,Science,High skilled,34000,2017/18
(1) Medicine & dentistry,England,All,Paid employment is most important activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,England,All,Paid employment is most important activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,England,All,Paid employment is most important activity,All,High skilled,34000,2017/18
(1) Medicine & dentistry,England,All,Paid employment is most important activity,All,Medium skilled,,2017/18
(1) Medicine & dentistry,England,All,Paid employment is most important activity,All,Low skilled,,2017/18
(1) Medicine & dentistry,England,All,Paid employment is an activity,Science,High skilled,34000,2017/18
(1) Medicine & dentistry,England,All,Paid employment is an activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,England,All,Paid employment is an activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,England,All,Paid employment is an activity,All,High skilled,34000,2017/18
(1) Medicine & dentistry,England,All,Paid employment is an activity,All,Medium skilled,,2017/18
(1) Medicine & dentistry,England,All,Paid employment is an activity,All,Low skilled,,2017/18
(1) Medicine & dentistry,Northern Ireland,All,Paid employment is most important activity,Science,High skilled,32000,2017/18
(1) Medicine & dentistry,Northern Ireland,All,Paid employment is most important activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,Northern Ireland,All,Paid employment is most important activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,Northern Ireland,All,Paid employment is most important activity,All,High skilled,32000,2017/18
(1) Medicine & dentistry,Northern Ireland,All,Paid employment is most important activity,All,Medium skilled,,2017/18
(1) Medicine & dentistry,Northern Ireland,All,Paid employment is most important activity,All,Low skilled,,2017/18
(1) Medicine & dentistry,Northern Ireland,All,Paid employment is an activity,Science,High skilled,32000,2017/18
(1) Medicine & dentistry,Northern Ireland,All,Paid employment is an activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,Northern Ireland,All,Paid employment is an activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,Northern Ireland,All,Paid employment is an activity,All,High skilled,32000,2017/18
(1) Medicine & dentistry,Northern Ireland,All,Paid employment is an activity,All,Medium skilled,,2017/18
(1) Medicine & dentistry,Northern Ireland,All,Paid employment is an activity,All,Low skilled,,2017/18
(1) Medicine & dentistry,Scotland,All,Paid employment is most important activity,Science,High skilled,35000,2017/18
(1) Medicine & dentistry,Scotland,All,Paid employment is most important activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,Scotland,All,Paid employment is most important activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,Scotland,All,Paid employment is most important activity,All,High skilled,35000,2017/18
(1) Medicine & dentistry,Scotland,All,Paid employment is most important activity,All,Medium skilled,,2017/18
(1) Medicine & dentistry,Scotland,All,Paid employment is most important activity,All,Low skilled,,2017/18
(1) Medicine & dentistry,Scotland,All,Paid employment is an activity,Science,High skilled,35000,2017/18
(1) Medicine & dentistry,Scotland,All,Paid employment is an activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,Scotland,All,Paid employment is an activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,Scotland,All,Paid employment is an activity,All,High skilled,35000,2017/18
(1) Medicine & dentistry,Scotland,All,Paid employment is an activity,All,Medium skilled,,2017/18
(1) Medicine & dentistry,Scotland,All,Paid employment is an activity,All,Low skilled,,2017/18
(1) Medicine & dentistry,Wales,All,Paid employment is most important activity,Science,High skilled,32000,2017/18
(1) Medicine & dentistry,Wales,All,Paid employment is most important activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,Wales,All,Paid employment is most important activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,Wales,All,Paid employment is most important activity,All,High skilled,32000,2017/18
(1) Medicine & dentistry,Wales,All,Paid employment is most important activity,All,Medium skilled,,2017/18
(1) Medicine & dentistry,Wales,All,Paid employment is most important activity,All,Low skilled,,2017/18
(1) Medicine & dentistry,Wales,All,Paid employment is an activity,Science,High skilled,32000,2017/18
(1) Medicine & dentistry,Wales,All,Paid employment is an activity,Science,Medium skilled,,2017/18
(1) Medicine & dentistry,Wales,All,Paid employment is an activity,Science,Low skilled,,2017/18
(1) Medicine & dentistry,Wales,All,Paid employment is an activity,All,High skilled,32000,2017/18
(1) Medicine & dentistry,Wales,All,Paid employment is an activity,All,Medium skilled,,2017/18
(1) Medicine & dentistry,Wales,All,Paid employment is an activity,All,Low skilled,,2017/18
(1) Medicine & dentistry,England,Further education colleges (FECs),Paid employment is most important activity,All,High skilled,,2017/18
(1) Medicine & dentistry,England,Further education colleges (FECs),Paid employment is most important activity,All,Medium skilled,,2017/18
(1) Medicine & dentistry,England,Further education colleges (FECs),Paid employment is most important activity,All,Low skilled,,2017/18
(1) Medicine & dentistry,England,Further education colleges (FECs),Paid employment is an activity,All,High skilled,,2017/18
(1) Medicine & dentistry,England,Further education colleges (FECs),Paid employment is an activity,All,Medium skilled,,2017/18
(1) Medicine & dentistry,England,Further education colleges (FECs),Paid employment is an activity,All,Low skilled,,2017/18
(1) Medicine & dentistry,England,Higher education providers (HEPs),Paid employment is most important activity,All,High skilled,34000,2017/18
(1) Medicine & dentistry,England,Higher education providers (HEPs),Paid employment is most important activity,All,Medium skilled,,2017/18
(1) Medicine & dentistry,England,Higher education providers (HEPs),Paid employment is most important activity,All,Low skilled,,2017/18
(1) Medicine & dentistry,England,Higher education providers (HEPs),Paid employment is an activity,All,High skilled,34000,2017/18
(1) Medicine & dentistry,England,Higher education providers (HEPs),Paid employment is an activity,All,Medium skilled,,2017/18
(1) Medicine & dentistry,England,Higher education providers (HEPs),Paid employment is an activity,All,Low skilled,,2017/18
(1) Medicine & dentistry,Northern Ireland,Higher education providers (HEPs),Paid employment is most important activity,All,High skilled,32000,2017/18
(1) Medicine & dentistry,Northern Ireland,Higher education providers (HEPs),Paid employment is most important activity,All,Medium skilled,,2017/18
(1) Medicine & dentistry,Northern Ireland,Higher education providers (HEPs),Paid employment is most important activity,All,Low skilled,,2017/18
(1) Medicine & dentistry,Northern Ireland,Higher education providers (HEPs),Paid employment is an activity,All,High skilled,32000,2017/18
(1) Medicine & dentistry,Northern Ireland,Higher education providers (HEPs),Paid employment is an activity,All,Medium skilled,,2017/18
(1) Medicine & dentistry,Northern Ireland,Higher education providers (HEPs),Paid employment is an activity,All,Low skilled,,2017/18
(1) Medicine & dentistry,Scotland,Higher education providers (HEPs),Paid employment is most important activity,All,High skilled,35000,2017/18
(1) Medicine & dentistry,Scotland,Higher education providers (HEPs),Paid employment is most important activity,All,Medium skilled,,2017/18
(1) Medicine & dentistry,Scotland,Higher education providers (HEPs),Paid employment is most important activity,All,Low skilled,,2017/18
(1) Medicine & dentistry,Scotland,Higher education providers (HEPs),Paid employment is an activity,All,High skilled,35000,2017/18
(1) Medicine & dentistry,Scotland,Higher education providers (HEPs),Paid employment is an activity,All,Medium skilled,,2017/18
(1) Medicine & dentistry,Scotland,Higher education providers (HEPs),Paid employment is an activity,All,Low skilled,,2017/18
